round,moody_avg_mood,moody_avg_score,moody_avg_connectivity,sarsa_avg_score,sarsa_avg_connectivity,tft_avg_score,tft_avg_connectivity,wsls_avg_score,wsls_avg_connectivity
22500,0,0,0,0,0,50.0,0.583,50.0,0.715
22600,0,0,0,0,0,50.0,0.333,50.0,0.755
22700,0,0,0,0,0,50.0,0.583,50.0,0.759
22800,0,0,0,0,0,50.0,0.417,50.0,0.753
22900,0,0,0,0,0,50.0,0.5,50.0,0.769
23000,0,0,0,0,0,50.0,0.417,50.0,0.744
23100,0,0,0,0,0,50.0,0.75,50.0,0.77
23200,0,0,0,0,0,50.0,0.5,50.0,0.706
23300,0,0,0,0,0,50.0,0.417,50.0,0.769
23400,0,0,0,0,0,50.0,0.75,50.0,0.808
23500,0,0,0,0,0,50.0,0.25,50.0,0.758
23600,0,0,0,0,0,50.0,0.583,50.0,0.708
23700,0,0,0,0,0,50.0,0.583,50.0,0.711
23800,0,0,0,0,0,50.0,0.583,50.0,0.698
23900,0,0,0,0,0,50.0,0.583,50.0,0.79
24000,0,0,0,0,0,50.0,0.5,50.0,0.666
24100,0,0,0,0,0,50.0,0.583,50.0,0.775
24200,0,0,0,0,0,50.0,0.75,50.0,0.738
24300,0,0,0,0,0,50.0,0.667,50.0,0.709
24400,0,0,0,0,0,50.0,0.417,50.0,0.718
24500,0,0,0,0,0,50.0,0.417,50.0,0.746
24600,0,0,0,0,0,50.0,0.75,50.0,0.709
24700,0,0,0,0,0,50.0,0.5,50.0,0.728
24800,0,0,0,0,0,50.0,0.667,50.0,0.706
24900,0,0,0,0,0,50.0,0.583,50.0,0.726
25000,0,0,0,0,0,50.0,0.583,50.0,0.755
25100,0,0,0,0,0,50.0,0.5,50.0,0.714
25200,0,0,0,0,0,50.0,0.583,50.0,0.718
25300,0,0,0,0,0,50.0,0.583,50.0,0.769
25400,0,0,0,0,0,50.0,0.5,50.0,0.784
25500,0,0,0,0,0,50.0,0.583,50.0,0.764
25600,0,0,0,0,0,50.0,0.25,50.0,0.743
25700,0,0,0,0,0,50.0,0.583,50.0,0.688
25800,0,0,0,0,0,50.0,0.5,50.0,0.708
25900,0,0,0,0,0,50.0,0.5,50.0,0.721
26000,0,0,0,0,0,50.0,0.083,50.0,0.786
26100,0,0,0,0,0,50.0,0.417,50.0,0.757
26200,0,0,0,0,0,50.0,0.417,50.0,0.752
26300,0,0,0,0,0,50.0,0.417,50.0,0.752
26400,0,0,0,0,0,50.0,0.583,50.0,0.725
26500,0,0,0,0,0,50.0,0.583,50.0,0.759
26600,0,0,0,0,0,50.0,0.333,50.0,0.746
26700,0,0,0,0,0,50.0,0.667,50.0,0.724
26800,0,0,0,0,0,50.0,0.667,50.0,0.709
26900,0,0,0,0,0,50.0,0.25,50.0,0.744
27000,0,0,0,0,0,50.0,0.5,50.0,0.717
27100,0,0,0,0,0,50.0,0.5,50.0,0.795
27200,0,0,0,0,0,50.0,0.833,50.0,0.752
27300,0,0,0,0,0,50.0,0.5,50.0,0.739
27400,0,0,0,0,0,50.0,0.75,50.0,0.703
27500,0,0,0,0,0,50.0,0.583,50.0,0.795
27600,0,0,0,0,0,50.0,0.333,50.0,0.773
27700,0,0,0,0,0,50.0,0.417,50.0,0.717
27800,0,0,0,0,0,50.0,0.75,50.0,0.747
27900,0,0,0,0,0,50.0,0.667,50.0,0.734
28000,0,0,0,0,0,50.0,0.417,50.0,0.757
28100,0,0,0,0,0,50.0,0.5,50.0,0.725
28200,0,0,0,0,0,50.0,0.417,50.0,0.715
28300,0,0,0,0,0,50.0,0.5,50.0,0.691
28400,0,0,0,0,0,50.0,0.333,50.0,0.701
28500,0,0,0,0,0,50.0,0.333,50.0,0.736
28600,0,0,0,0,0,50.0,0.5,50.0,0.795
28700,0,0,0,0,0,50.0,0.667,50.0,0.718
28800,0,0,0,0,0,50.0,0.333,50.0,0.735
28900,0,0,0,0,0,50.0,0.417,50.0,0.709
29000,0,0,0,0,0,50.0,0.417,50.0,0.734
29100,0,0,0,0,0,50.0,0.5,50.0,0.707
29200,0,0,0,0,0,50.0,0.417,50.0,0.802
29300,0,0,0,0,0,50.0,0.583,50.0,0.742
29400,0,0,0,0,0,50.0,0.333,50.0,0.767
29500,0,0,0,0,0,50.0,0.25,50.0,0.742
29600,0,0,0,0,0,50.0,0.583,50.0,0.773
29700,0,0,0,0,0,50.0,0.667,50.0,0.737
29800,0,0,0,0,0,50.0,0.583,50.0,0.724
29900,0,0,0,0,0,50.0,0.583,50.0,0.723
30000,0,0,0,0,0,50.0,0.667,50.0,0.724
30100,0,0,0,0,0,50.0,0.667,50.0,0.749
30200,0,0,0,0,0,50.0,0.333,50.0,0.765
