round,moody_avg_mood,moody_avg_score,moody_avg_connectivity,sarsa_avg_score,sarsa_avg_connectivity,tft_avg_score,tft_avg_connectivity,wsls_avg_score,wsls_avg_connectivity
29000,99.7,3.373,0.367,3.677,0.0,50.0,0.469,50.0,0.468
29100,98.267,3.371,0.529,3.679,0.268,50.0,0.522,50.0,0.517
29200,98.833,3.37,0.407,3.68,0.057,50.0,0.493,50.0,0.472
29300,99.267,3.37,0.364,3.68,0.006,50.0,0.459,50.0,0.446
29400,99.633,3.37,0.364,3.68,0.001,50.0,0.469,50.0,0.473
29500,99.7,3.371,0.358,3.68,0.0,50.0,0.46,50.0,0.439
29600,99.6,3.372,0.357,3.68,0.0,50.0,0.469,50.0,0.468
29700,99.7,3.372,0.354,3.68,0.0,50.0,0.479,50.0,0.442
29800,99.667,3.373,0.363,3.68,0.0,50.0,0.464,50.0,0.449
29900,99.6,3.373,0.357,3.68,0.0,50.0,0.46,50.0,0.455
30000,99.667,3.374,0.358,3.68,0.0,50.0,0.462,50.0,0.458
30100,97.7,3.371,0.519,3.681,0.277,50.0,0.523,50.0,0.516
30200,99.133,3.37,0.406,3.679,0.063,50.0,0.49,50.0,0.477
30300,99.633,3.37,0.371,3.679,0.01,50.0,0.477,50.0,0.459
30400,99.733,3.371,0.356,3.679,0.0,50.0,0.466,50.0,0.454
30500,99.667,3.371,0.361,3.679,0.0,50.0,0.472,50.0,0.443
30600,99.633,3.372,0.356,3.679,0.0,50.0,0.471,50.0,0.464
30700,99.767,3.372,0.346,3.679,0.0,50.0,0.478,50.0,0.448
30800,99.7,3.373,0.359,3.679,0.0,50.0,0.473,50.0,0.449
30900,99.6,3.373,0.36,3.679,0.0,50.0,0.471,50.0,0.463
31000,99.8,3.374,0.361,3.679,0.0,50.0,0.48,50.0,0.452
31100,97.3,3.371,0.525,3.68,0.282,50.0,0.547,50.0,0.518
31200,99.1,3.37,0.403,3.68,0.06,50.0,0.482,50.0,0.476
31300,99.5,3.371,0.361,3.68,0.013,50.0,0.473,50.0,0.468
31400,99.7,3.371,0.363,3.68,0.002,50.0,0.461,50.0,0.475
31500,99.667,3.372,0.367,3.68,0.001,50.0,0.474,50.0,0.468
31600,99.7,3.372,0.357,3.68,0.0,50.0,0.474,50.0,0.457
31700,99.833,3.373,0.359,3.68,0.0,50.0,0.468,50.0,0.449
31800,99.667,3.373,0.359,3.68,0.0,50.0,0.471,50.0,0.458
31900,99.8,3.374,0.364,3.68,0.0,50.0,0.49,50.0,0.481
32000,99.567,3.374,0.357,3.68,0.0,50.0,0.465,50.0,0.44
32100,98.4,3.372,0.534,3.681,0.278,50.0,0.54,50.0,0.531
32200,98.7,3.371,0.407,3.681,0.048,50.0,0.471,50.0,0.464
32300,99.3,3.371,0.364,3.682,0.006,50.0,0.466,50.0,0.441
32400,99.867,3.372,0.365,3.682,0.001,50.0,0.463,50.0,0.451
32500,99.6,3.372,0.357,3.682,0.0,50.0,0.466,50.0,0.452
32600,99.667,3.372,0.355,3.682,0.0,50.0,0.476,50.0,0.448
32700,99.8,3.373,0.361,3.682,0.0,50.0,0.47,50.0,0.455
32800,99.667,3.373,0.36,3.682,0.0,50.0,0.467,50.0,0.463
32900,99.9,3.374,0.359,3.682,0.0,50.0,0.462,50.0,0.457
33000,99.833,3.374,0.364,3.682,0.0,50.0,0.471,50.0,0.469
33100,98.567,3.372,0.533,3.682,0.262,50.0,0.55,50.0,0.522
33200,99.033,3.371,0.415,3.682,0.048,50.0,0.487,50.0,0.47
33300,99.4,3.371,0.371,3.683,0.007,50.0,0.47,50.0,0.458
33400,100.0,3.372,0.363,3.683,0.0,50.0,0.455,50.0,0.441
33500,99.833,3.372,0.364,3.683,0.0,50.0,0.476,50.0,0.462
33600,99.833,3.373,0.361,3.683,0.0,50.0,0.481,50.0,0.464
33700,99.633,3.373,0.365,3.683,0.0,50.0,0.485,50.0,0.469
33800,99.567,3.374,0.37,3.683,0.0,50.0,0.478,50.0,0.46
33900,99.467,3.374,0.361,3.683,0.0,50.0,0.465,50.0,0.45
34000,99.767,3.374,0.355,3.683,0.0,50.0,0.467,50.0,0.453
34100,98.2,3.372,0.53,3.683,0.255,50.0,0.525,50.0,0.507
34200,99.0,3.371,0.408,3.683,0.052,50.0,0.486,50.0,0.469
34300,99.433,3.371,0.373,3.683,0.009,50.0,0.482,50.0,0.455
34400,99.533,3.372,0.367,3.683,0.002,50.0,0.476,50.0,0.454
34500,99.9,3.372,0.361,3.683,0.0,50.0,0.475,50.0,0.452
34600,99.667,3.373,0.353,3.683,0.0,50.0,0.457,50.0,0.443
34700,99.8,3.373,0.356,3.683,0.0,50.0,0.469,50.0,0.443
34800,99.8,3.374,0.362,3.683,0.0,50.0,0.459,50.0,0.443
34900,99.867,3.374,0.363,3.683,0.0,50.0,0.464,50.0,0.45
35000,99.667,3.375,0.358,3.683,0.0,50.0,0.48,50.0,0.466
35100,97.733,3.372,0.528,3.683,0.245,50.0,0.536,50.0,0.503
35200,98.833,3.371,0.411,3.683,0.054,50.0,0.485,50.0,0.461
35300,99.667,3.372,0.368,3.683,0.01,50.0,0.468,50.0,0.452
35400,99.733,3.372,0.355,3.683,0.002,50.0,0.463,50.0,0.437
35500,99.733,3.373,0.362,3.683,0.0,50.0,0.474,50.0,0.456
35600,99.5,3.373,0.36,3.683,0.0,50.0,0.451,50.0,0.451
35700,99.6,3.373,0.352,3.683,0.0,50.0,0.461,50.0,0.457
35800,99.633,3.374,0.356,3.683,0.0,50.0,0.468,50.0,0.45
35900,99.733,3.374,0.366,3.683,0.0,50.0,0.466,50.0,0.461
36000,99.833,3.375,0.355,3.683,0.0,50.0,0.47,50.0,0.45
36100,98.633,3.373,0.529,3.684,0.263,50.0,0.532,50.0,0.515
36200,98.933,3.372,0.402,3.683,0.058,50.0,0.479,50.0,0.464
36300,99.333,3.372,0.366,3.684,0.007,50.0,0.473,50.0,0.457
36400,99.733,3.372,0.358,3.684,0.0,50.0,0.471,50.0,0.454
36500,99.867,3.373,0.359,3.684,0.0,50.0,0.468,50.0,0.459
36600,99.767,3.373,0.353,3.684,0.0,50.0,0.448,50.0,0.447
36700,99.533,3.374,0.365,3.684,0.0,50.0,0.488,50.0,0.465
36800,99.533,3.374,0.353,3.684,0.0,50.0,0.463,50.0,0.446
36900,99.467,3.374,0.366,3.684,0.0,50.0,0.481,50.0,0.465
37000,99.667,3.375,0.369,3.684,0.0,50.0,0.472,50.0,0.465
37100,97.933,3.373,0.538,3.684,0.282,50.0,0.533,50.0,0.512
37200,99.3,3.372,0.397,3.683,0.056,50.0,0.481,50.0,0.475
